id,first_name,last_name,email,gender,grade
42,Tasha Frampton,Frampton,tframpton15@jimdo.com,Genderqueer,9.36
43,Donovan Bezzant,Bezzant,dbezzant16@blogger.com,Male,9.92
44,Andee Beretta,Beretta,aberetta17@reference.com,Female,1.74
45,Sheffy Prozillo,Prozillo,sprozillo18@ifeng.com,Male,4.51
46,Kizzie Keane,Keane,kkeane19@instagram.com,Female,3.71
47,Carlie Peppard,Peppard,cpeppard1a@mapquest.com,Male,7.68
48,Gusta Royan,Royan,groyan1b@illinois.edu,Female,2.47
49,Roy Stodd,Stodd,rstodd1c@salon.com,Male,5.17
50,Horace Surgenor,Surgenor,hsurgenor1d@amazonaws.com,Male,1.11
51,Murial Blogg,Blogg,mblogg1e@studiopress.com,Female,4.91
52,Grissel Lozano,Lozano,glozano1f@senate.gov,Female,7.82
53,Gilberto Tomasini,Tomasini,gtomasini1g@seesaa.net,Male,1.94
54,Bertina Iowarch,Iowarch,biowarch1h@yelp.com,Female,5.55
55,Corinne Tocqueville,Tocqueville,ctocqueville1i@oracle.com,Genderfluid,7.21
56,Galen Reeks,Reeks,greeks1j@opera.com,Male,3.26
57,Violette Suttle,Suttle,vsuttle1k@bluehost.com,Female,4.11
58,Colleen Coates,Coates,ccoates1l@plala.or.jp,Female,8.84
59,Lydon Swaby,Swaby,lswaby1m@bloomberg.com,Genderfluid,4.42
60,Daniel Klaiser,Klaiser,dklaiser1n@blogs.com,Male,4.8
61,Charyl Casine,Casine,ccasine1o@hatena.ne.jp,Female,4.53
62,Charity MacTurlough,MacTurlough,cmacturlough1p@disqus.com,Female,3.41
63,Meredith Kaufman,Kaufman,mkaufman1q@google.nl,Female,8.22
64,Othello Meriot,Meriot,omeriot1r@amazon.com,Male,1.13
65,Betsey Huonic,Huonic,bhuonic1s@ycombinator.com,Female,7.53
66,Gavrielle Lamprey,Lamprey,glamprey1t@howstuffworks.com,Female,5.55
67,Chiquita MacCartair,MacCartair,cmaccartair1u@columbia.edu,Agender,5.98
68,Lawrence Grace,Grace,lgrace1v@hubpages.com,Male,5.16
69,Juliane Olivie,Olivie,jolivie1w@quantcast.com,Female,9.7
70,Nanette Bonifas,Bonifas,nbonifas1x@pinterest.com,Female,9.25
71,Ardella Boyle,Boyle,aboyle1y@fc2.com,Female,6.62
72,Ber Melburg,Melburg,bmelburg1z@yolasite.com,Male,6.64
73,Christy Drepp,Drepp,cdrepp20@mysql.com,Female,7.49
74,Remington Boydell,Boydell,rboydell21@netlog.com,Male,8.2
75,Rutger Gallymore,Gallymore,rgallymore22@usda.gov,Male,9.88
76,Alis Lindsey,Lindsey,alindsey23@ftc.gov,Female,4.01
77,Amalle Burmaster,Burmaster,aburmaster24@vistaprint.com,Agender,3.62
78,Alonzo Birtles,Birtles,abirtles25@samsung.com,Male,3.18
79,Barbara Edgeler,Edgeler,bedgeler26@tuttocitta.it,Female,9.75
80,Alasdair Spancock,Spancock,aspancock27@etsy.com,Male,9.99
81,Marylou Moxley,Moxley,mmoxley28@wunderground.com,Female,9.94
82,Ario Stanbridge,Stanbridge,astanbridge29@thetimes.co.uk,Male,7.29
83,Sebastiano Camis,Camis,scamis2a@google.de,Male,9.07
84,Vidovic Chstney,Chstney,vchstney2b@answers.com,Male,5.73
85,Dorrie Nijssen,Nijssen,dnijssen2c@dyndns.org,Female,9.54
86,Marjory Parkhouse,Parkhouse,mparkhouse2d@sohu.com,Female,8.32
87,Athena Nuss,Nuss,anuss2e@altervista.org,Female,6.86
88,Rriocard Kearey,Kearey,rkearey2f@ftc.gov,Male,6.15
89,Margaux Peskett,Peskett,mpeskett2g@admin.ch,Female,4.22
90,Avigdor Christy,Christy,achristy2h@amazonaws.com,Male,4.51
91,Theodore Haime,Haime,thaime2i@arizona.edu,Male,3.1
92,Hally Jordi,Jordi,hjordi2j@posterous.com,Female,5.0
93,Jackqueline Galier,Galier,jgalier2k@redcross.org,Female,5.94
94,Derron Handlin,Handlin,dhandlin2l@over-blog.com,Male,4.51
95,Atlante Lusty,Lusty,alusty2m@go.com,Bigender,3.91
96,Fae Fruchter,Fruchter,ffruchter2n@un.org,Female,3.65
97,Scotti Tiddy,Tiddy,stiddy2o@scientificamerican.com,Male,9.93
98,Kingsly Upsale,Upsale,kupsale2p@taobao.com,Agender,8.48
99,Irwin Olivazzi,Olivazzi,iolivazzi2q@sphinn.com,Agender,6.17
100,Devy Ratcliffe,Ratcliffe,dratcliffe2r@51.la,Male,1.38
